year,country,institution,uni_rank,uni_score,score_gap_parent,entered_top100_parent,top_uni_parent
2018,United Kingdom,University of Glasgow,65,71.6,31.0,1,University of Cambridge
2018,United Kingdom,University of St Andrews,92,65.3,31.0,1,University of Cambridge
2018,United Kingdom,University of Leeds,101,64.5,31.0,1,University of Cambridge
2018,United Kingdom,Queen Mary University of London,127,58.3,31.0,1,University of Cambridge
2018,United Kingdom,University of Bath,160,52.6,31.0,1,University of Cambridge
2018,United Kingdom,Queen's University Belfast,202,47.4,31.0,1,University of Cambridge
2018,United Kingdom,University of Sussex,228,43.7,31.0,1,University of Cambridge
2018,United Kingdom,Loughborough University,234,43.1,31.0,1,University of Cambridge
2018,United Kingdom,University of Leicester,238,42.8,31.0,1,University of Cambridge
2018,United Kingdom,University of East Anglia (UEA),274,39.5,31.0,1,University of Cambridge
2018,United Kingdom,Heriot-Watt University,312,36.6,31.0,1,University of Cambridge
2018,United Kingdom,"City, University of London",343,34.2,31.0,1,University of Cambridge
2018,Switzerland,EPFL,12,91.2,28.7,1,ETH Zurich - Swiss Federal Institute of Technology
2018,Switzerland,University of Lausanne,146,54.5,28.7,1,ETH Zurich - Swiss Federal Institute of Technology
2018,Switzerland,University of Bern,167,51.9,28.7,1,ETH Zurich - Swiss Federal Institute of Technology
2018,Switzerland,University of St.Gallen (HSG),372,32.8,28.7,1,ETH Zurich - Swiss Federal Institute of Technology
2018,Singapore,National University of Singapore (NUS),15,90.5,27.6,1,"Nanyang Technological University, Singapore (NTU)"
2018,Australia,The University of New South Wales (UNSW Sydney),45,78.9,22.5,1,The Australian National University
2018,Australia,The University of Sydney,50,78.0,22.5,1,The Australian National University
2018,Australia,Monash University,60,73.1,22.5,1,The Australian National University
2018,Australia,University of Technology Sydney,176,50.1,22.5,1,The Australian National University
2018,Australia,University of Wollongong,232,43.3,22.5,1,The Australian National University
2018,Australia,Curtin University,262,40.4,22.5,1,The Australian National University
2018,Australia,University of Tasmania,313,36.5,22.5,1,The Australian National University
2018,Australia,La Trobe University,360,33.2,22.5,1,The Australian National University
2018,China (Mainland),Fudan University,40,80.6,21.0,1,Tsinghua University
2018,China (Mainland),Shanghai Jiao Tong University,62,72.5,21.0,1,Tsinghua University
2018,China (Mainland),Zhejiang University,87,65.9,21.0,1,Tsinghua University
2018,China (Mainland),University of Science and Technology of China,97,64.9,21.0,1,Tsinghua University
2018,China (Mainland),Wuhan University,282,38.8,21.0,1,Tsinghua University
2018,Hong Kong SAR,The Hong Kong University of Science and Technology,30,84.3,20.9,1,The University of Hong Kong
2018,Hong Kong SAR,The Chinese University of Hong Kong (CUHK),46,78.8,20.9,1,The University of Hong Kong
2018,Hong Kong SAR,City University of Hong Kong,49,78.4,20.9,1,The University of Hong Kong
2018,Canada,McGill University,32,83.9,19.4,1,University of Toronto
2018,Canada,University of British Columbia,51,77.9,19.4,1,University of Toronto
2018,Canada,Université de Montréal ,130,57.7,19.4,1,University of Toronto
2018,Canada,McMaster University,140,55.8,19.4,1,University of Toronto
2018,Canada,University of Waterloo,152,53.7,19.4,1,University of Toronto
2018,Canada,University of Calgary,217,45.8,19.4,1,University of Toronto
2018,Canada,Université Laval,378,32.4,19.4,1,University of Toronto
2018,France,Ecole Polytechnique,59,74.0,15.3,1,"Ecole normale supérieure, Paris"
2018,France,Université Pierre et Marie Curie (UPMC),131,57.5,15.3,1,"Ecole normale supérieure, Paris"
2018,France,École Normale Supérieure de Lyon,157,52.8,15.3,1,"Ecole normale supérieure, Paris"
2018,France,CentraleSupélec,177,50.0,15.3,1,"Ecole normale supérieure, Paris"
2018,France,Sciences Po ,220,45.2,15.3,1,"Ecole normale supérieure, Paris"
2018,France,Université Paris-Saclay,242,42.3,15.3,1,"Ecole normale supérieure, Paris"
2018,France,Université Paris 1 Panthéon-Sorbonne ,269,40.0,15.3,1,"Ecole normale supérieure, Paris"
2018,France,Université de Strasbourg,303,37.5,15.3,1,"Ecole normale supérieure, Paris"
2018,France,ENS Paris-Saclay,330,35.4,15.3,1,"Ecole normale supérieure, Paris"
2018,France,Université de Montpellier,381,32.0,15.3,1,"Ecole normale supérieure, Paris"
2018,Netherlands,University of Amsterdam,58,74.3,11.5,1,Delft University of Technology
2018,Netherlands,Eindhoven University of Technology,104,63.6,11.5,1,Delft University of Technology
2018,Netherlands,University of Groningen,113,61.3,11.5,1,Delft University of Technology
2018,Netherlands,Wageningen University & Research,124,58.7,11.5,1,Delft University of Technology
2018,Netherlands,Maastricht University ,200,47.9,11.5,1,Delft University of Technology
2018,Netherlands,Radboud University ,204,47.1,11.5,1,Delft University of Technology
2018,Netherlands,Vrije Universiteit Amsterdam,218,45.6,11.5,1,Delft University of Technology
2018,Japan,Osaka University,63,72.1,10.2,1,Tokyo Institute of Technology (Tokyo Tech)
2018,Japan,Kyushu University,128,58.2,10.2,1,Tokyo Institute of Technology (Tokyo Tech)
2018,Japan,Waseda University,203,47.2,10.2,1,Tokyo Institute of Technology (Tokyo Tech)
